date,realized
2014-04-24,135.3
2014-04-25,138.63
2014-04-26,137.52
2014-04-27,132.39
2014-04-28,126.598
2014-04-29,120.66666666666667
2014-04-30,119.32142857142857
2014-05-01,119.005
2014-05-02,118.92999999999999
2014-05-03,117.67699999999999
2014-05-04,117.21909090909092
2014-05-05,116.8675
2014-05-06,117.01461538461538
2014-05-07,116.72857142857143
2014-05-08,116.5942
2014-05-09,116.6308125
2014-05-10,116.5054705882353
2014-05-11,116.37494444444445
2014-05-12,116.32889473684212
2014-05-13,116.66745
2014-05-14,117.01090476190477
2014-05-15,117.16954545454547
2014-05-16,117.40478260869567
2014-05-17,117.63375
2014-05-18,117.8484
2014-05-19,118.15223076923077
2014-05-20,118.654
2014-05-21,119.08671428571428
2014-05-22,119.62165517241378
2014-05-23,119.93376666666667
2014-05-24,120.232
2014-05-25,120.6038125
2014-05-26,120.80978787878787
2014-05-27,121.02067647058823
2014-05-28,121.25122857142856
2014-05-29,121.25258333333333
2014-05-30,121.25008108108108
2014-05-31,121.25008108108108
2014-06-01,121.25163157894737
2014-06-02,121.26348717948717
2014-06-03,121.20689999999999
2014-06-04,120.93575609756097
2014-06-05,120.63730952380952
2014-06-06,120.1515511627907
2014-06-07,119.82969772727273
2014-06-08,119.58681555555555
2014-06-09,119.34362391304346
2014-06-10,118.99097234042551
2014-06-11,118.56197291666668
2014-06-12,118.1829530612245
2014-06-13,117.82769400000001
2014-06-14,117.51734705882355
2014-06-15,117.30643653846155
2014-06-16,117.12895660377359
2014-06-17,117.01379074074075
2014-06-18,116.8683581818182
2014-06-19,116.6966017857143
2014-06-20,116.5440298245614
2014-06-21,116.30090862068967
2014-06-22,116.08718135593222
2014-06-23,115.87556166666668
2014-06-24,115.60973278688526
2014-06-25,115.25040000000001
2014-06-26,114.93513333333335
2014-06-27,114.66277187499999
2014-06-28,114.27548307692307
2014-06-29,113.91974848484847
2014-06-30,113.39557313432834
2014-07-01,112.88210882352939
2014-07-02,112.22887536231882
2014-07-03,111.5982214285714
2014-07-04,111.11799295774647
2014-07-05,110.63568055555555
2014-07-06,110.17491780821916
2014-07-07,109.84485135135134
2014-07-08,109.63097333333332
2014-07-09,109.34717368421052
2014-07-10,109.1683792207792
2014-07-11,108.97391282051281
2014-07-12,108.82615443037973
2014-07-13,108.7030725
2014-07-14,108.56846666666667
2014-07-15,108.32722804878047
2014-07-16,108.12535783132529
2014-07-17,107.90100833333334
2014-07-18,107.69472823529412
2014-07-19,107.50877093023256
2014-07-20,107.36017126436782
2014-07-21,107.21431704545454
2014-07-22,107.09898651685393
2014-07-23,106.95488666666665
2014-07-24,106.81258021978019
2014-07-25,106.72305108695649
2014-07-26,106.6668892473118
2014-07-27,106.705964893617
2014-07-28,106.70095473684208
2014-07-29,106.64792395833332
2014-07-30,106.61753298969073
2014-07-31,106.59959897959185
2014-08-01,106.599198989899
2014-08-02,106.591617
2014-08-03,106.59318514851486
2014-08-04,106.54493823529413
2014-08-05,106.51440485436893
2014-08-06,106.47782403846153
2014-08-07,106.45203523809523
2014-08-08,106.44003490566038
2014-08-09,106.43655794392524
2014-08-10,106.48456203703702
2014-08-11,106.53396972477064
2014-08-12,106.56427
2014-08-13,106.6199072072072
2014-08-14,106.68937232142856
2014-08-15,106.79638672566371
2014-08-16,106.91659385964911
2014-08-17,107.04349304347825
2014-08-18,107.17673017241378
2014-08-19,107.28633076923076
2014-08-20,107.39780254237287
2014-08-21,107.5205100840336
2014-08-22,107.64150583333334
2014-08-23,107.79050165289256
2014-08-24,107.91533360655738
2014-08-25,108.04155040650407
2014-08-26,108.21218306451614
2014-08-27,108.44856560000002
2014-08-28,108.68445000000001
2014-08-29,108.90874566929135
2014-08-30,109.13219296874999
2014-08-31,109.3343465116279
2014-09-01,109.49300538461539
2014-09-02,109.62000534351145
2014-09-03,109.72689924242424
2014-09-04,109.81744887218045
2014-09-05,109.94119925373134
2014-09-06,110.07333851851851
2014-09-07,110.23199044117646
2014-09-08,110.40708540145985
2014-09-09,110.58565724637681
2014-09-10,110.73532877697842
2014-09-11,110.87257642857143
2014-09-12,111.01872836879433
2014-09-13,111.16162464788731
2014-09-14,111.30776713286713
2014-09-15,111.43917152777777
2014-09-16,111.55731517241378
2014-09-17,111.6615801369863
2014-09-18,111.77524285714286
2014-09-19,111.87628851351351
2014-09-20,111.97168255033557
2014-09-21,112.07847133333334
2014-09-22,112.18404437086093
2014-09-23,112.31335986842105
2014-09-24,112.45464509803921
2014-09-25,112.63532922077923
2014-09-26,112.75800451612902
2014-09-27,112.88487628205127
2014-09-28,113.00688343949044
2014-09-29,113.0705740506329
2014-09-30,113.16610503144655
2014-10-01,113.268629375
2014-10-02,113.35739565217389
2014-10-03,113.45012777777777
2014-10-04,113.52540306748465
2014-10-05,113.6313457317073
2014-10-06,113.7286103030303
2014-10-07,113.82825722891566
2014-10-08,113.95712994011977
2014-10-09,114.08524226190477
2014-10-10,114.24142426035503
2014-10-11,114.41582764705882
2014-10-12,114.58655380116959
2014-10-13,114.77006220930234
2014-10-14,114.98144913294796
2014-10-15,115.30057873563219
2014-10-16,115.62463257142858
2014-10-17,115.9984130681818
2014-10-18,116.43599265536723
2014-10-19,116.94354325842697
2014-10-20,117.30028483146069
2014-10-21,117.47174550561796
2014-10-22,117.71702640449438
2014-10-23,118.12618370786515
2014-10-24,118.66056573033707
2014-10-25,119.29753202247188
2014-10-26,119.81972303370787
2014-10-27,120.30899269662922
2014-10-28,120.79736348314606
2014-10-29,121.36191404494379
2014-10-30,121.92264438202247
2014-10-31,122.55904887640449
2014-11-01,123.18741966292133
2014-11-02,124.01798146067415
2014-11-03,125.03436910112359
2014-11-04,126.24133539325842
2014-11-05,127.6093129213483
2014-11-06,128.72641404494382
2014-11-07,129.99073988764044
2014-11-08,131.29624550561797
2014-11-09,132.87090842696628
2014-11-10,134.49079044943818
2014-11-11,136.18506011235954
2014-11-12,137.9519702247191
2014-11-13,140.00455449438203
2014-11-14,142.56141966292137
2014-11-15,145.27321741573036
2014-11-16,147.71462191011236
2014-11-17,150.7509140449438
2014-11-18,154.1338634831461
2014-11-19,158.0110039325843
2014-11-20,161.5632511235955
2014-11-21,165.30296460674157
2014-11-22,169.26335786516856
2014-11-23,173.67369494382024
2014-11-24,178.49268370786518
2014-11-25,184.00206573033708
2014-11-26,189.27272458100558
2014-11-27,194.36814916201115
2014-11-28,199.1296910614525
2014-11-29,204.49080837988825
2014-11-30,210.1410318435754
2014-12-01,215.06080279329612
2014-12-02,220.19996648044693
2014-12-03,224.14404469273742
2014-12-04,227.68711731843575
2014-12-05,232.0976759776536
2014-12-06,236.70667597765362
2014-12-07,241.1127150837989
2014-12-08,245.46008938547484
2014-12-09,249.9117653631285
2014-12-10,254.18545251396645
2014-12-11,258.36461452513964
2014-12-12,262.1704804469274
2014-12-13,265.4148379888269
2014-12-14,267.9307318435755
2014-12-15,271.1183854748603
2014-12-16,274.3935251396648
2014-12-17,277.15149720670394
2014-12-18,280.20501117318435
2014-12-19,283.23495530726257
2014-12-20,286.36501117318437
2014-12-21,289.5795860335196
2014-12-22,293.150543575419
2014-12-23,296.7078955307262
2014-12-24,300.33538715083796
2014-12-25,303.88663296089385
2014-12-26,307.6951245810056
2014-12-27,311.4754597765363
2014-12-28,315.3856888268156
2014-12-29,319.32114636871506
2014-12-30,323.499738547486
2014-12-31,327.816769273743
2015-01-01,332.52297039106145
2015-01-02,337.27509329608944
2015-01-03,341.36836703910615
2015-01-04,345.55975139664804
2015-01-05,349.79276815642453
2015-01-06,354.09053351955305
2015-01-07,358.60684078212296
2015-01-08,362.8999715083799
2015-01-09,367.0517033519553
2015-01-10,371.237530726257
2015-01-11,375.5328826815642
2015-01-12,379.7155642458101
2015-01-13,383.7520603351955
2015-01-14,387.9324938547487
2015-01-15,392.08662458100565
2015-01-16,396.414138547486
2015-01-17,400.7304519553073
2015-01-18,405.0371558659218
2015-01-19,409.24366424581007
2015-01-20,413.2087150837989
2015-01-21,417.1354748603352
2015-01-22,421.28726256983236
2015-01-23,425.67625698324025
2015-01-24,429.4493854748603
2015-01-25,433.43346368715083
2015-01-26,437.4128491620111
2015-01-27,441.3869832402234
2015-01-29,449.5229553072626
2015-01-30,453.49897765363136
2015-01-31,457.57137988826815
2015-02-01,461.6395921787709
2015-02-02,465.55752513966473
2015-02-03,468.9996480446928
2015-02-04,472.32669832402246
2015-02-05,475.45769832402243
2015-02-06,478.6855195530727
2015-02-07,481.9698379888268
2015-02-08,485.00067597765354
2015-02-09,488.00352513966476
2015-02-10,490.82356983240226
2015-02-11,493.74870949720673
2015-02-12,496.49921229050284
2015-02-13,499.4189944134078
2015-02-14,502.240279329609
2015-02-15,505.0366480446927
2015-02-16,507.6729050279329
2015-02-17,510.24670391061454
2015-02-18,512.7349162011174
2015-02-19,515.5279329608938
2015-02-20,518.036033519553
2015-02-21,520.0478212290502
2015-02-22,522.4472067039105
2015-02-23,524.9506145251397
2015-02-24,527.3530167597766
2015-02-25,529.713910614525
2015-02-26,532.0945810055866
2015-02-27,534.6411173184358
2015-02-28,537.7074301675977
2015-03-01,540.6935195530726
2015-03-02,543.6699441340783
2015-03-03,546.414189944134
2015-03-04,549.110223463687
